,Date,Province,Unnamed: 0,count,mosquito,date,Dengue
308,2015-09-01,cotabato,8,14.0,35.909285714285716,2015-09-01,16.16238339347721
309,2015-10-01,cotabato,9,21.0,34.614285714285714,2015-10-01,22.033024895143818
310,2015-11-01,cotabato,10,19.0,32.153157894736836,2015-11-01,20.511006728045068
311,2015-12-01,cotabato,11,17.0,35.63941176470588,2015-12-01,26.164217062983283
312,2015-01-01,davao del norte,0,36.0,41.41138888888889,2015-01-01,2.7550052541885917
313,2015-02-01,davao del norte,1,32.0,54.625,2015-02-01,1.8694678510565443
314,2015-03-01,davao del norte,2,13.0,43.07692307692307,2015-03-01,1.5742887166791952
315,2015-04-01,davao del norte,3,4.0,10.1,2015-04-01,0.8855374031320473
316,2015-05-01,davao del norte,4,,28.363636363636363,2015-05-01,2.656612209396142
317,2015-06-01,davao del norte,5,6.0,70.43166666666666,2015-06-01,2.951791343773491
318,2015-07-01,davao del norte,6,43.0,53.67046511627907,2015-07-01,3.34536352294329
319,2015-08-01,davao del norte,7,68.0,51.92014705882351,2015-08-01,3.050184388565941
320,2015-09-01,davao del norte,8,61.0,60.15196721311474,2015-09-01,2.5582191646036923
321,2015-10-01,davao del norte,9,35.0,54.414285714285704,2015-10-01,3.935721791697988
322,2015-11-01,davao del norte,10,33.0,58.44696969696969,2015-11-01,4.624473105245136
323,2015-12-01,davao del norte,11,25.0,54.96639999999999,2015-12-01,8.166622717773325
324,2015-01-01,davao del sur,0,50.0,49.0762,2015-01-01,11.387817418858491
325,2015-02-01,davao del sur,1,51.0,52.392156862745104,2015-02-01,6.709101735141436
326,2015-03-01,davao del sur,2,21.0,43.714285714285715,2015-03-01,3.8842167940292525
327,2015-04-01,davao del sur,3,7.0,8.571428571428571,2015-04-01,3.9724944484390083
328,2015-05-01,davao del sur,4,2.0,0.0,2015-05-01,3.8400779668243747
329,2015-06-01,davao del sur,5,4.0,73.1625,2015-06-01,8.077405378492651
330,2015-07-01,davao del sur,6,54.0,51.9701851851852,2015-07-01,11.343678591653612
331,2015-08-01,davao del sur,7,73.0,52.15767123287671,2015-08-01,9.357431367434108
332,2015-09-01,davao del sur,8,69.0,53.59333333333335,2015-09-01,10.460902047556056
333,2015-10-01,davao del sur,9,38.0,55.67578947368422,2015-10-01,11.564372727678002
334,2015-11-01,davao del sur,10,39.0,56.506923076923094,2015-11-01,13.374064643077995
335,2015-12-01,davao del sur,11,24.0,53.41958333333333,2015-12-01,16.110671929780423
